Date,Tag,Position,n_Leaves,Leaf_Area_cm2,Leaf_Mass_g,SLA,Species_code,DBH,Elevation,Salinity
2019-06-14,1362,Low/Shade,6,307.24,1.645,186.772,ACRU,11.5,Upland,-9999
2019-06-14,1433,Low/Shade,6,274.49,1.647,166.661,ACRU,9.8,Upland,-9999
2019-06-14,1397,Low/Shade,6,115.63,0.655,176.534,ACRU,20.7,Upland,-9999
2019-06-14,1328,Low/Shade,6,228.87,1.178,194.287,ACRU,27.8,Upland,-9999
2019-06-14,1392,Low/Shade,6,152.54,0.721,211.567,ACRU,10.5,Upland,-9999
2019-06-14,1379,Low/Shade,6,351.26,1.399,251.079,LIST,23.1,Upland,-9999
2019-06-14,1360,Low/Shade,6,357.34,1.575,226.883,LIST,23.5,Upland,-9999
2019-06-14,1305,Low/Shade,5,96.66,0.412,234.612,LIST,35.2,Upland,-9999
2019-06-14,1444,Low/Shade,5,265.63,1.375,193.185,LIST,17,Upland,-9999
2019-06-14,1413,Low/Shade,6,211.72,0.88,240.591,LIST,15.6,Upland,-9999
2019-06-14,1406,Low/Shade,6,193.76,0.785,246.828,LIST,33.7,Upland,-9999
2019-06-14,1527,Low/Shade,6,699.17,2.598,269.119,LITU,42.3,Upland,-9999
2019-07-11,1527,High/Sun,6,374.09,2.07,180.72,LITU,42.3,Upland,-9999
2019-06-14,1587,Low/Shade,6,684.19,1.956,349.79,LITU,14.4,Upland,-9999
2019-06-14,1587,High/Sun,6,656.4,2.479,264.784,LITU,14.4,Upland,-9999
2019-06-14,1586,Low/Shade,6,416.63,1.379,302.125,LITU,40.6,Upland,-9999
2019-07-11,1586,High/Sun,13,809.75,5.41,149.677,LITU,40.6,Upland,-9999
2019-06-14,1614,Low/Shade,6,531.81,1.737,306.166,LITU,55.1,Upland,-9999
2019-06-14,1616,Low/Shade,6,877.27,2.83,309.989,LITU,25,Upland,-9999
2019-06-14,1621,Low/Shade,5,486.27,0.996,488.223,LITU,42.5,Upland,-9999
2019-06-14,1385,Low/Shade,6,914.19,3.186,286.94,LITU,39.2,Upland,-9999
2019-06-14,1325,Low/Shade,6,487.65,1.838,265.316,LITU,47.7,Upland,-9999
2019-06-19,1416,Low/Shade,6,296.25,0.822,360.401,NYSY,11.9,Upland,-9999
2019-06-19,1449,Low/Shade,6,250.45,1.028,243.628,NYSY,16.6,Upland,-9999
2019-06-19,1321,Low/Shade,5,581.53,2.249,258.573,CAGL,14.5,Upland,-9999
2019-06-19,1336,Low/Shade,5,345.24,1.032,334.535,CAGL,18.2,Upland,-9999
2019-06-19,1317,Low/Shade,6,788.92,2.856,276.232,CAGL,21,Upland,-9999
2019-06-19,1312,Low/Shade,5,280.61,0.913,307.349,CAGL,26.3,Upland,-9999
2019-06-19,1429,Low/Shade,6,147.58,0.605,243.934,CAGL,23.9,Upland,-9999
2019-06-19,1410,Low/Shade,5,253.4,1.028,246.498,CAGL,17.8,Upland,-9999
2019-06-19,1409,Low/Shade,5,352.72,1.859,189.736,QUAL,10,Upland,-9999
2019-06-19,1427,Low/Shade,6,190.35,0.919,207.127,QUAL,26,Upland,-9999
2019-06-19,1417,Low/Shade,5,371.94,2.199,169.141,QUAL,32.3,Upland,-9999
2019-06-19,1426,Low/Shade,6,252.69,1.2,210.575,QUAL,17.8,Upland,-9999
2019-06-19,1440,Low/Shade,6,179.67,0.773,232.432,QUAL,15.9,Upland,-9999
2019-06-19,1345,Low/Shade,6,421.81,1.918,219.922,QUAL,18.9,Upland,-9999
2019-06-24,966,Low/Shade,6,508.85,2.939,173.137,QUAL,14.4,Shoreline,High
2019-06-24,966,High/Sun,6,358,2.623,136.485,QUAL,14.4,Shoreline,High
2019-06-24,971,Low/Shade,6,186.47,0.745,250.295,QUAL,22.9,Shoreline,High
2019-06-24,971,High/Sun,6,394.31,2.652,148.684,QUAL,22.9,Shoreline,High
2019-06-24,972,Low/Shade,6,319.58,1.532,208.603,QUAL,12.5,Shoreline,High
2019-06-24,972,High/Sun,6,447.8,3.406,131.474,QUAL,12.5,Shoreline,High
2019-06-24,974,Low/Shade,6,272.97,1.122,243.289,QUAL,8,Shoreline,High
2019-06-24,974,High/Sun,6,492.41,3.232,152.355,QUAL,8,Shoreline,High
2019-06-24,976,Low/Shade,6,430.35,2.215,194.289,QUAL,34.8,Shoreline,High
2019-06-24,977,Low/Shade,6,356.88,2.043,174.684,QUAL,13,Shoreline,High
2019-06-24,977,High/Sun,6,377.92,2.753,137.276,QUAL,13,Shoreline,High
2019-06-24,963,Low/Shade,6,475.15,2.888,164.526,LIST,11.1,Shoreline,High
2019-06-24,963,High/Sun,6,489.53,3.422,143.054,LIST,11.1,Shoreline,High
2019-06-24,964,Low/Shade,6,344.64,1.431,240.839,LIST,5.2,Shoreline,High
2019-06-24,964,High/Sun,6,565.16,2.954,191.32,LIST,5.2,Shoreline,High
2019-06-24,970,Low/Shade,6,252.27,1.159,217.662,LIST,12.1,Shoreline,High
2019-06-24,970,High/Sun,6,427.73,2.596,164.765,LIST,12.1,Shoreline,High
2019-06-24,975,Low/Shade,6,212.53,0.746,284.893,LIST,2.3,Shoreline,High
2019-06-24,975,High/Sun,6,385.49,1.802,213.923,LIST,2.3,Shoreline,High
2019-06-24,967,Low/Shade,5,212.01,0.547,387.587,FAGR,9.3,Shoreline,High
2019-06-24,967,High/Sun,6,385.09,1.493,257.93,FAGR,9.3,Shoreline,High
2019-06-24,-9999,Low/Shade,5,93.58,0.278,336.619,FAGR,1.1,Shoreline,High
2019-06-24,-9999,High/Sun,6,257.61,1.052,244.876,FAGR,1.1,Shoreline,High
2019-06-24,719,Low/Shade,6,131.27,0.669,196.218,ACRU,22.5,Shoreline,High
2019-06-24,718,Low/Shade,6,225.09,1.347,167.105,ACRU,35.6,Shoreline,High
2019-06-24,962,Low/Shade,6,204.38,1.053,194.093,ACRU,13.8,Shoreline,High
2019-06-24,962,High/Sun,6,338.54,2.292,147.705,ACRU,13.8,Shoreline,High
2019-06-24,965,Low/Shade,6,362.79,2.002,181.214,ACRU,7,Shoreline,High
2019-06-24,965,High/Sun,6,246.51,1.552,158.834,ACRU,7,Shoreline,High
2019-06-24,968,Low/Shade,6,373.9,1.692,220.981,ACRU,27,Shoreline,High
2019-06-24,968,High/Sun,6,197.87,1.39,142.353,ACRU,27,Shoreline,High
2019-06-24,973,Low/Shade,6,255.38,1.748,146.098,ACRU,22.5,Shoreline,High
2019-06-24,959,Low/Shade,6,163.9,0.759,215.942,NYSY,18.8,Shoreline,High
2019-06-24,960,Low/Shade,6,178.98,0.817,219.07,NYSY,19.6,Shoreline,High
2019-06-24,960,High/Sun,6,100.31,0.678,147.95,NYSY,19.6,Shoreline,High
2019-06-24,961,Low/Shade,6,103.1,0.678,152.065,NYSY,21.1,Shoreline,High
2019-06-24,961,High/Sun,6,111.44,0.913,122.059,NYSY,21.1,Shoreline,High
2019-06-24,969,Low/Shade,6,348.92,1.384,252.11,NYSY,39.8,Shoreline,High
2019-08-23,141,Low/Shade,6,300.06,1.48,202.743,QUAL,27.2,Shoreline,Low
2019-08-23,128,Low/Shade,6,407.81,2.11,193.275,QUAL,21,Shoreline,Low
2019-08-23,112,Low/Shade,6,430.17,2.68,160.511,QUAL,73.5,Shoreline,Low
2019-08-23,126,Low/Shade,6,392.04,2.07,189.391,QUAL,8.5,Shoreline,Low
2019-08-23,120,Low/Shade,6,242.6,1.01,240.198,QUAL,8.4,Shoreline,Low
2019-08-23,122,Low/Shade,5,396.87,2.29,173.306,QUAL,18.2,Shoreline,Low
2019-08-23,113,Low/Shade,6,142.6,0.42,339.524,LIST,6.1,Shoreline,Low
2019-08-23,115,Low/Shade,6,208.04,0.69,301.507,NYSY,4.4,Shoreline,Low
2019-08-23,FG010158,Low/Shade,6,315.56,1.27,248.472,LIST,12.2,Shoreline,Low
2019-08-23,FG010159,Low/Shade,6,210.48,0.83,253.59,LIST,3.1,Shoreline,Low
2019-08-23,-9999,Low/Shade,6,232.19,1.01,229.891,LIST,2,Shoreline,Low
2019-08-23,139,Low/Shade,6,332.39,1.47,226.116,LIST,52.8,Shoreline,Low
2019-08-23,FG010264,Low/Shade,6,191.61,0.58,330.362,LIST,4.8,Upland,-9999
2019-08-23,FG010679,Low/Shade,6,230.36,0.73,315.562,LIST,3.8,Upland,-9999
2019-08-23,FG010086,Low/Shade,2.5,109.33,0.44,248.477,LIST,53.5,Upland,-9999
2019-08-23,FG010257,Low/Shade,4,262.7,1.13,232.478,LIST,2.5,Upland,-9999
2019-08-23,FG010157,Low/Shade,6,277.47,0.72,385.375,NYSY,3,Shoreline,Low
2019-08-23,114,Low/Shade,6,216.72,0.77,281.455,LIST,8,Shoreline,Low
2019-08-23,135,Low/Shade,6,108.17,0.28,386.321,NYSY,3.8,Shoreline,Low
2019-08-23,130,Low/Shade,6,205.03,1.57,130.592,NYSY,28.8,Shoreline,Low
2019-08-23,-9999,Low/Shade,6,211.84,1.45,146.097,NYSY,40,Shoreline,Low
2019-08-23,-9999,Low/Shade,6,112.81,0.65,173.554,NYSY,50,Shoreline,Low
2019-08-23,136,Low/Shade,6,194.02,0.55,352.764,FAGR,55.8,Shoreline,Low
2019-08-23,138,Low/Shade,5,169.84,0.53,320.453,FAGR,59,Shoreline,Low
2019-08-23,140,Low/Shade,6,203.1,0.57,356.316,FAGR,5.7,Shoreline,Low
2019-08-23,134,Low/Shade,6,199.39,0.47,424.234,FAGR,7.2,Shoreline,Low
2019-08-23,129,Low/Shade,6,193.37,0.61,317,FAGR,4.1,Shoreline,Low
2019-08-23,118,Low/Shade,7,225.32,0.76,296.474,FAGR,5.7,Shoreline,Low
2019-08-23,FG010200,Low/Shade,5,140.28,0.45,311.733,FAGR,56.7,Upland,-9999
2019-08-23,FG010513,Low/Shade,6,223.36,0.63,354.54,FAGR,5.2,Upland,-9999
2019-08-23,FG020101,Low/Shade,6,188.79,0.53,356.208,FAGR,6.7,Upland,-9999
2019-08-23,FG010093,Low/Shade,6,219.94,0.61,360.557,FAGR,15.3,Upland,-9999
2019-08-23,FG010083,Low/Shade,5,126.2,0.35,360.571,FAGR,5.2,Upland,-9999
2019-08-23,FG010268,Low/Shade,6,266.86,0.66,404.333,FAGR,10,Upland,-9999
2019-08-23,FG010078,Low/Shade,6,594.84,2.33,255.296,QUAL,30.5,Upland,-9999
2019-08-23,FG020318,Low/Shade,6,352.03,1.7,207.076,QUAL,63.9,Upland,-9999
2019-08-23,FG010386,Low/Shade,6,715.09,3.32,215.389,QUAL,4.5,Upland,-9999
2019-08-30,522,Low/Shade,6,544.05,2.35,231.511,NYSY,10.1,Upland,-9999
2019-08-30,-9999,Low/Shade,6,245.72,0.91,270.022,NYSY,9.4,Upland,-9999
2019-08-30,-9999,Low/Shade,6,286.02,1.03,277.689,LIST,18,Upland,-9999
2019-08-30,634,Low/Shade,6,207.9,0.61,340.82,FAGR,39.6,Upland,-9999
2019-08-30,604,Low/Shade,6,294.6,0.94,313.404,FAGR,25.3,Upland,-9999
2019-08-30,622,Low/Shade,5,176.63,0.61,289.557,FAGR,14.7,Upland,-9999
2019-08-30,526,Low/Shade,6,328.69,0.95,345.989,FAGR,39.6,Upland,-9999
2019-08-30,628,Low/Shade,6,268.82,0.88,305.477,FAGR,29.1,Upland,-9999
2019-08-30,519,Low/Shade,6,261.92,0.69,379.594,FAGR,25.7,Upland,-9999
2019-08-30,618,Low/Shade,5,137.13,0.61,224.803,ACRU,13.1,Upland,-9999
2019-08-30,531,Low/Shade,6,241.19,0.93,259.344,ACRU,7.4,Upland,-9999
2019-08-30,508,Low/Shade,6,145.52,0.46,316.348,ACRU,8.5,Upland,-9999
2019-08-30,617,Low/Shade,5,214.01,0.97,220.629,QUAL,53.4,Upland,-9999
2019-09-13,403,Low/Shade,6,205.71,0.79,260.392,ACRU,8.5,Shoreline,Medium
2019-09-13,-9999,Low/Shade,6,288.26,2,144.13,ACRU,15,Shoreline,Medium
2019-09-13,-9999,Low/Shade,5,134.71,0.56,240.554,ACRU,2,Shoreline,Medium
2019-09-13,-9999,Low/Shade,6,128.95,0.62,207.984,ACRU,18,Shoreline,Medium
2019-09-13,959,Low/Shade,6,126.52,0.6,210.867,NYSY,18.8,Shoreline,High
2019-09-13,960,Low/Shade,6,197.66,0.92,214.848,NYSY,19.6,Shoreline,High
2019-09-13,969,Low/Shade,6,414.65,2.15,192.86,NYSY,39.8,Shoreline,High
2019-09-13,402,Low/Shade,6,197.35,0.58,340.259,FAGR,28.5,Shoreline,Medium
2019-09-13,420,Low/Shade,6,220.44,0.57,386.737,FAGR,16,Shoreline,Medium
2019-09-13,425,Low/Shade,6,274.14,0.59,464.644,FAGR,34.2,Shoreline,Medium
2019-09-13,417,Low/Shade,6,199.82,0.55,363.309,FAGR,32.9,Shoreline,Medium
2019-09-13,408,Low/Shade,6,172.95,0.55,314.455,FAGR,18.1,Shoreline,Medium
2019-09-13,431,Low/Shade,6,205.42,0.57,360.386,FAGR,48.1,Shoreline,Medium
2019-09-13,967,Low/Shade,6,225.9,0.67,337.164,FAGR,9.3,Shoreline,High
2019-09-13,1391,Low/Shade,6,319.56,1.12,285.321,FAGR,7.4,Upland,-9999
2019-09-13,1390,Low/Shade,6,270.97,0.97,279.351,FAGR,31.1,Upland,-9999
2019-09-13,1438,Low/Shade,6,260.01,1.05,247.629,FAGR,9.9,Upland,-9999
2019-09-13,1381,Low/Shade,6,352.36,1.38,255.333,FAGR,9.5,Upland,-9999
2019-09-13,1389,Low/Shade,6,228.08,0.69,330.551,FAGR,7.5,Upland,-9999
2019-09-13,966,Low/Shade,6,309.1,1.97,156.904,QUAL,14.4,Shoreline,High
2019-09-13,971,Low/Shade,6,305.55,1.75,174.6,QUAL,12.5,Shoreline,High
2019-09-13,972,Low/Shade,6,299.56,1.65,181.552,QUAL,12.5,Shoreline,High
2019-09-13,977,Low/Shade,6,335.34,2.52,133.071,QUAL,13,Shoreline,High
2019-09-13,974,Low/Shade,6,379.76,2.48,153.129,QUAL,8,Shoreline,High
2019-09-13,976,Low/Shade,6,254.23,1.39,182.899,QUAL,34.8,Shoreline,High
2019-09-13,412,Low/Shade,6,199.49,0.74,269.581,NYSY,10.4,Shoreline,Medium
2019-09-13,418,Low/Shade,6,306.16,1.07,286.131,NYSY,14.1,Shoreline,Medium
2019-09-13,406,Low/Shade,5,251.03,0.7,358.614,NYSY,7.3,Shoreline,Medium
2019-09-13,410,Low/Shade,6,231.93,0.94,246.734,NYSY,4.9,Shoreline,Medium
2019-09-13,432,Low/Shade,6,261.35,0.88,296.989,NYSY,11.1,Shoreline,Medium
2019-09-13,-9999,Low/Shade,6,277.82,1.41,197.035,NYSY,20,Shoreline,Medium
2019-09-13,-9999,Low/Shade,6,298.59,1.17,255.205,LIST,15,Shoreline,Medium
2019-09-13,-9999,Low/Shade,6,347.7,1.45,239.793,LIST,25,Shoreline,Medium
2019-09-13,709,Low/Shade,6,571.05,4.52,126.338,LIST,34.7,Shoreline,High
2019-09-13,963,Low/Shade,6,475.49,3.05,155.898,LIST,11.1,Shoreline,High
2019-09-13,970,Low/Shade,6,445.56,2.58,172.698,LIST,12.1,Shoreline,High
2019-09-13,975,Low/Shade,6,175.42,0.87,201.632,LIST,2.3,Shoreline,High
2019-09-13,719,Low/Shade,6,148.62,0.83,179.06,ACRU,22.5,Shoreline,High
2019-09-13,718,Low/Shade,6,174.07,1.1,158.245,ACRU,35.6,Shoreline,High
2019-09-13,962,Low/Shade,6,142.11,0.78,182.192,ACRU,13.8,Shoreline,High
2019-09-13,965,Low/Shade,6,376.32,2.12,177.509,ACRU,7,Shoreline,High
2019-09-13,973,Low/Shade,6,332.26,1.99,166.965,ACRU,22.5,Shoreline,High
2019-09-13,968,Low/Shade,6,244.66,1.58,154.848,ACRU,27,Shoreline,High
2019-07-11,1578,High/Sun,11,691.89,5.39,128.365,LITU,66.7,Upland,-9999
2019-07-11,1798,High/Sun,8,542.2,3.68,147.337,LITU,67.9,Upland,-9999
